in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
West,40%,Left,0cm,40%,No_Lighting_Control,64.13,26.02,116.3,7.2,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
South,50%,Left,0cm,40%,No_Lighting_Control,60.67,0,121.8,7,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
East,50%,Left,0cm,40%,No_Lighting_Control,64.87,14.84,116.3,7,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
North,50%,Left,0cm,40%,No_Lighting_Control,78.66,33.47,107.3,7.8,33.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
West,50%,Left,0cm,40%,No_Lighting_Control,70.6,30.96,117.3,7.4,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
South,60%,Left,0cm,40%,No_Lighting_Control,67.21,0,122.7,6.7,49.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
East,60%,Left,0cm,40%,No_Lighting_Control,71.99,16.33,117.1,7.3,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
North,60%,Left,0cm,40%,No_Lighting_Control,93.06,37.3,106,8,31.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
West,60%,Left,0cm,40%,No_Lighting_Control,79.71,34.89,118.2,7.7,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
South,30%,Top,50cm,40%,No_Lighting_Control,42.75,0,118.6,6.5,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
East,30%,Top,50cm,40%,No_Lighting_Control,47.22,6.84,115.3,6.4,42.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
North,30%,Top,50cm,40%,No_Lighting_Control,57.93,19.38,110.2,6.9,37.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
West,30%,Top,50cm,40%,No_Lighting_Control,52.27,14.8,116,6.8,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
South,40%,Top,50cm,40%,No_Lighting_Control,51.36,0,120.3,6.6,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
East,40%,Top,50cm,40%,No_Lighting_Control,55.32,9.42,116.2,6.6,43.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
North,40%,Top,50cm,40%,No_Lighting_Control,65.85,25.81,109.9,7,36.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
West,40%,Top,50cm,40%,No_Lighting_Control,60.94,21.48,116.9,6.9,44,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
South,50%,Top,50cm,40%,No_Lighting_Control,57.45,0,121.8,6.7,49.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
East,50%,Top,50cm,40%,No_Lighting_Control,62.09,11.01,117.2,6.7,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
North,50%,Top,50cm,40%,No_Lighting_Control,73.51,29.51,109.5,7.1,36.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
West,50%,Top,50cm,40%,No_Lighting_Control,68.06,26.25,118,7,45,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
South,60%,Top,50cm,40%,No_Lighting_Control,64.06,0,122.8,6.6,50.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
East,60%,Top,50cm,40%,No_Lighting_Control,68.77,13.04,117.9,6.9,45,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
North,60%,Top,50cm,40%,No_Lighting_Control,85.67,33.54,108.8,7.4,35.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
West,60%,Top,50cm,40%,No_Lighting_Control,75.58,30.05,118.8,7.2,45.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position0_Shade_Depth2_VT0_Lighting_Control0.png
South,30%,Right,50cm,40%,No_Lighting_Control,44.99,0,118.6,6.6,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
East,30%,Right,50cm,40%,No_Lighting_Control,49.53,9.89,114.9,6.7,42.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
North,30%,Right,50cm,40%,No_Lighting_Control,60.47,23.44,109.4,7.2,36.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
West,30%,Right,50cm,40%,No_Lighting_Control,53.46,16.06,116.1,6.9,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
South,40%,Right,50cm,40%,No_Lighting_Control,52.71,0,120.2,6.7,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
East,40%,Right,50cm,40%,No_Lighting_Control,57.93,12.53,115.5,6.8,42.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
North,40%,Right,50cm,40%,No_Lighting_Control,69.48,29.47,108.5,7.4,35,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
West,40%,Right,50cm,40%,No_Lighting_Control,61.92,23.41,116.9,7.1,43.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
South,50%,Right,50cm,40%,No_Lighting_Control,59.04,0,121.5,6.5,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
East,50%,Right,50cm,40%,No_Lighting_Control,64.5,14.84,116.4,7,43.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
North,50%,Right,50cm,40%,No_Lighting_Control,77.78,32.69,107.9,7.7,34.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
West,50%,Right,50cm,40%,No_Lighting_Control,69.51,28.39,117.9,7.3,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
South,60%,Right,50cm,40%,No_Lighting_Control,65.75,0,122.7,6.7,50,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
East,60%,Right,50cm,40%,No_Lighting_Control,71.54,16.33,117.1,7.2,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
North,60%,Right,50cm,40%,No_Lighting_Control,91.84,36.42,107.3,7.9,33.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
West,60%,Right,50cm,40%,No_Lighting_Control,77.44,32.11,118.9,7.6,45.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position1_Shade_Depth2_VT0_Lighting_Control0.png
South,30%,Left,50cm,40%,No_Lighting_Control,45.29,0,118.6,6.6,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
East,30%,Left,50cm,40%,No_Lighting_Control,48.98,6.88,115.4,6.6,42.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
North,30%,Left,50cm,40%,No_Lighting_Control,60.13,23.27,109.2,7.1,36,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
West,30%,Left,50cm,40%,No_Lighting_Control,54.47,18.94,115.6,7,42.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
South,40%,Left,50cm,40%,No_Lighting_Control,53.35,0,120.2,6.7,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
East,40%,Left,50cm,40%,No_Lighting_Control,56.98,9.59,116.1,6.8,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
North,40%,Left,50cm,40%,No_Lighting_Control,69.28,29.34,108.5,7.4,35,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
West,40%,Left,50cm,40%,No_Lighting_Control,63.55,25.91,116.4,7.2,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
South,50%,Left,50cm,40%,No_Lighting_Control,59.72,0,121.7,6.8,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
East,50%,Left,50cm,40%,No_Lighting_Control,63.62,11.69,116.9,7,43.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
North,50%,Left,50cm,40%,No_Lighting_Control,77.64,32.72,107.8,7.7,34.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
West,50%,Left,50cm,40%,No_Lighting_Control,70.77,30.76,117.3,7.4,43.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
South,60%,Left,50cm,40%,No_Lighting_Control,66.36,0,122.9,6.9,50,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
East,60%,Left,50cm,40%,No_Lighting_Control,70.39,13.08,117.9,7.2,44.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
North,60%,Left,50cm,40%,No_Lighting_Control,92.01,36.42,107.2,7.9,33.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
West,60%,Left,50cm,40%,No_Lighting_Control,79.4,34.79,118.2,7.6,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position2_Shade_Depth2_VT0_Lighting_Control0.png
South,30%,Top,100cm,40%,No_Lighting_Control,40.51,0,118.7,6.5,46.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,30%,Top,100cm,40%,No_Lighting_Control,44.99,3.62,115.7,6.4,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,30%,Top,100cm,40%,No_Lighting_Control,54.84,14.87,111.5,6.7,38.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,30%,Top,100cm,40%,No_Lighting_Control,49.93,11.11,116.2,6.6,43.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,40%,Top,100cm,40%,No_Lighting_Control,48.85,0,120.4,6.5,47.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,40%,Top,100cm,40%,No_Lighting_Control,53.18,4.95,116.7,6.4,44.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,40%,Top,100cm,40%,No_Lighting_Control,63.28,20.56,111.7,6.7,39,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,40%,Top,100cm,40%,No_Lighting_Control,58.16,16.63,117.3,6.7,44.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,50%,Top,100cm,40%,No_Lighting_Control,54.98,0,121.9,6.6,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,50%,Top,100cm,40%,No_Lighting_Control,59.25,6.44,118,6.6,45.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,50%,Top,100cm,40%,No_Lighting_Control,70.02,24.53,111.8,6.7,39,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,50%,Top,100cm,40%,No_Lighting_Control,65.18,21.48,118.5,6.7,45.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,60%,Top,100cm,40%,No_Lighting_Control,61.38,0,122.9,6.4,50.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
East,60%,Top,100cm,40%,No_Lighting_Control,66.36,9.99,118.6,6.7,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
North,60%,Top,100cm,40%,No_Lighting_Control,80.45,29.07,111.1,7,38,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
West,60%,Top,100cm,40%,No_Lighting_Control,72.87,25.81,119.3,6.9,46.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position0_Shade_Depth4_VT0_Lighting_Control0.png
South,30%,Right,100cm,40%,No_Lighting_Control,43.8,0,118.6,6.6,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,30%,Right,100cm,40%,No_Lighting_Control,49.22,9.89,114.9,6.6,42.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,30%,Right,100cm,40%,No_Lighting_Control,59.62,22.43,109.8,7.2,36.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,30%,Right,100cm,40%,No_Lighting_Control,52.03,14.46,116.5,6.9,43.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,40%,Right,100cm,40%,No_Lighting_Control,52.34,0,120.3,6.7,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,40%,Right,100cm,40%,No_Lighting_Control,57.08,12.53,115.5,6.8,42.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,40%,Right,100cm,40%,No_Lighting_Control,68.7,28.59,109,7.4,35.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,40%,Right,100cm,40%,No_Lighting_Control,61.04,21.92,117.3,7.1,44.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,50%,Right,100cm,40%,No_Lighting_Control,58.27,0,121.7,6.8,48.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,50%,Right,100cm,40%,No_Lighting_Control,63.75,14.84,116.4,7,43.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,50%,Right,100cm,40%,No_Lighting_Control,76.66,32.08,108.2,7.6,34.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,50%,Right,100cm,40%,No_Lighting_Control,68.26,27.2,118.3,7.3,44.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,60%,Right,100cm,40%,No_Lighting_Control,65.07,0,122.7,6.6,50,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
East,60%,Right,100cm,40%,No_Lighting_Control,70.87,16.33,117.2,7.2,43.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
North,60%,Right,100cm,40%,No_Lighting_Control,90.41,35.7,107.8,7.8,33.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
West,60%,Right,100cm,40%,No_Lighting_Control,75.85,30.28,119.4,7.5,45.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position1_Shade_Depth4_VT0_Lighting_Control0.png
South,30%,Left,100cm,40%,No_Lighting_Control,45.02,0,118.7,6.7,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
East,30%,Left,100cm,40%,No_Lighting_Control,47.63,5.32,115.7,6.5,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
North,30%,Left,100cm,40%,No_Lighting_Control,59.01,21.88,109.6,7.1,36.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
West,30%,Left,100cm,40%,No_Lighting_Control,54.81,18.8,115.6,7,42.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth4_VT0_Lighting_Control0.png
