in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
East,40%,Top,100cm,70%,Daylight_Control,52.98,4.95,101.3,5.3,49.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
North,40%,Top,100cm,70%,Daylight_Control,63.41,20.56,92.3,5.2,41.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
West,40%,Top,100cm,70%,Daylight_Control,58.74,16.63,101.5,5.5,49.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
South,50%,Top,100cm,70%,Daylight_Control,55.18,0,107.8,5.3,56.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
East,50%,Top,100cm,70%,Daylight_Control,59.15,6.44,101.1,5.5,50,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
North,50%,Top,100cm,70%,Daylight_Control,70.43,24.53,90.5,5.3,40.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
West,50%,Top,100cm,70%,Daylight_Control,65.14,21.48,101.6,5.6,50.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
South,60%,Top,100cm,70%,Daylight_Control,61.69,0,108.2,5.5,57.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
East,60%,Top,100cm,70%,Daylight_Control,66.4,9.99,100.2,5.8,49.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
North,60%,Top,100cm,70%,Daylight_Control,80.52,29.07,87.1,5.8,37.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
