in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
North,30%,Top,100cm,40%,Daylight Control,55.15,14.87,99.8,5.1,47.8,Orientation2_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
West,30%,Top,100cm,40%,Daylight Control,50.2,11.11,104.2,4.8,51.7,Orientation3_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
South,40%,Top,100cm,40%,Daylight Control,48.81,0,108.5,4.4,56.4,Orientation0_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
East,40%,Top,100cm,40%,Daylight Control,53.05,4.95,105,5.2,53.2,Orientation1_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
North,40%,Top,100cm,40%,Daylight Control,63.35,20.56,98.6,4.5,48.6,Orientation2_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
West,40%,Top,100cm,40%,Daylight Control,58.57,16.63,104.8,4.8,53.8,Orientation3_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
South,50%,Top,100cm,40%,Daylight Control,54.84,0,109.4,4.4,58.6,Orientation0_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
East,50%,Top,100cm,40%,Daylight Control,59.18,6.44,105.1,4.8,54.7,Orientation1_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
North,50%,Top,100cm,40%,Daylight Control,69.99,24.53,98.1,4.5,49,Orientation2_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
West,50%,Top,100cm,40%,Daylight Control,64.87,21.48,105.4,4.8,55.5,Orientation3_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
South,60%,Top,100cm,40%,Daylight Control,61.62,0,110.1,4.6,60.2,Orientation0_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
East,60%,Top,100cm,40%,Daylight Control,66.12,9.99,104.7,4.9,55.3,Orientation1_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
North,60%,Top,100cm,40%,Daylight Control,79.44,29.07,96.7,4.7,48.3,Orientation2_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
West,60%,Top,100cm,40%,Daylight Control,73.1,25.81,105.7,5,56.6,Orientation3_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
South,30%,Right,100cm,40%,Daylight Control,44.07,0,107.9,5,54.1,Orientation0_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
East,30%,Right,100cm,40%,Daylight Control,49.29,9.89,103,4.9,50.7,Orientation1_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
North,30%,Right,100cm,40%,Daylight Control,59.59,22.43,96.9,5.2,45.6,Orientation2_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
West,30%,Right,100cm,40%,Daylight Control,52.37,14.46,104.4,5.1,52.1,Orientation3_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
South,40%,Right,100cm,40%,Daylight Control,52.2,0,108,4.5,56.5,Orientation0_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
East,40%,Right,100cm,40%,Daylight Control,57.18,12.53,102.7,5,51.8,Orientation1_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
North,40%,Right,100cm,40%,Daylight Control,68.8,28.59,94.9,5.2,45,Orientation2_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
West,40%,Right,100cm,40%,Daylight Control,61.18,21.92,104.3,5.2,53.5,Orientation3_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
South,50%,Right,100cm,40%,Daylight Control,58.06,0,108.9,4.6,58.6,Orientation0_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
East,50%,Right,100cm,40%,Daylight Control,64.06,14.84,102.8,5.2,52.8,Orientation1_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
North,50%,Right,100cm,40%,Daylight Control,77.13,32.08,93.6,5.6,44.1,Orientation2_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
West,50%,Right,100cm,40%,Daylight Control,68.56,27.2,104.6,5.4,54.6,Orientation3_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
South,60%,Right,100cm,40%,Daylight Control,64.94,0,109.9,4.6,60.6,Orientation0_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
East,60%,Right,100cm,40%,Daylight Control,71.14,16.33,102.7,5.5,53.3,Orientation1_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
North,60%,Right,100cm,40%,Daylight Control,90.24,35.7,92.6,5.8,43.6,Orientation2_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
West,60%,Right,100cm,40%,Daylight Control,76.02,30.28,105.3,5.6,56,Orientation3_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control1.png
South,30%,Left,100cm,40%,Daylight Control,44.72,0,107.8,4.9,54.1,Orientation0_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
East,30%,Left,100cm,40%,Daylight Control,47.53,5.32,104.1,4.9,51.4,Orientation1_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
North,30%,Left,100cm,40%,Daylight Control,59.21,21.88,96.9,5.2,45.5,Orientation2_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
West,30%,Left,100cm,40%,Daylight Control,54.54,18.8,103.1,5.1,51.1,Orientation3_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
South,40%,Left,100cm,40%,Daylight Control,53.05,0,108.2,4.7,56.5,Orientation0_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
East,40%,Left,100cm,40%,Daylight Control,56.06,8.37,103.8,5,52.7,Orientation1_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
North,40%,Left,100cm,40%,Daylight Control,68.63,28.66,94.9,5.2,44.9,Orientation2_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
West,40%,Left,100cm,40%,Daylight Control,63.38,25.85,103.3,5.3,52.6,Orientation3_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
South,50%,Left,100cm,40%,Daylight Control,58.91,0,108.9,4.6,58.6,Orientation0_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
East,50%,Left,100cm,40%,Daylight Control,62.5,10.23,103.9,5.2,53.8,Orientation1_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
North,50%,Left,100cm,40%,Daylight Control,76.56,32.22,93.6,5.6,44,Orientation2_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
West,50%,Left,100cm,40%,Daylight Control,70.36,30.56,103.6,5.5,53.7,Orientation3_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
South,60%,Left,100cm,40%,Daylight Control,65.79,0,109.9,4.6,60.6,Orientation0_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
East,60%,Left,100cm,40%,Daylight Control,69.44,11.25,104.5,5.4,55,Orientation1_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
North,60%,Left,100cm,40%,Daylight Control,90.62,35.7,92.5,5.8,43.4,Orientation2_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
West,60%,Left,100cm,40%,Daylight Control,79.3,34.69,104,5.7,54.7,Orientation3_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control1.png
South,30%,Top,0cm,50%,Daylight Control,46.48,0,106.7,4.8,53.5,Orientation0_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
East,30%,Top,0cm,50%,Daylight Control,50.2,9.89,101.5,5.2,49.2,Orientation1_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
North,30%,Top,0cm,50%,Daylight Control,61.42,24.8,93.2,5.7,41.7,Orientation2_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
West,30%,Top,0cm,50%,Daylight Control,55.05,19.21,101.8,5.5,49.6,Orientation3_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
South,40%,Top,0cm,50%,Daylight Control,54.37,0,107.2,4.9,55.6,Orientation0_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
East,40%,Top,0cm,50%,Daylight Control,58.2,12.53,101,5.4,49.9,Orientation1_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
North,40%,Top,0cm,50%,Daylight Control,70.49,30.49,90.7,5.9,40.2,Orientation2_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
West,40%,Top,0cm,50%,Daylight Control,63.52,26.02,101.7,5.7,50.8,Orientation3_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
South,50%,Top,0cm,50%,Daylight Control,60.77,0,108,5,57.5,Orientation0_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
East,50%,Top,0cm,50%,Daylight Control,65.01,14.84,100.9,5.7,50.5,Orientation1_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
North,50%,Top,0cm,50%,Daylight Control,78.32,33.47,88.5,6.1,38.6,Orientation2_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
West,50%,Top,0cm,50%,Daylight Control,71.1,30.96,101.7,6,51.5,Orientation3_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
South,60%,Top,0cm,50%,Daylight Control,66.9,0,108.5,5.2,58.8,Orientation0_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
East,60%,Top,0cm,50%,Daylight Control,72.29,16.33,100.9,6,51,Orientation1_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
North,60%,Top,0cm,50%,Daylight Control,93.67,37.3,86.9,6.5,37.2,Orientation2_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
West,60%,Top,0cm,50%,Daylight Control,79.74,34.89,101.8,6.2,52.1,Orientation3_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control1.png
South,30%,Right,0cm,50%,Daylight Control,46.34,0,106.7,4.8,53.5,Orientation0_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
East,30%,Right,0cm,50%,Daylight Control,50.64,9.89,101.5,5.2,49.2,Orientation1_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
North,30%,Right,0cm,50%,Daylight Control,61.55,24.8,93.2,5.7,41.7,Orientation2_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
West,30%,Right,0cm,50%,Daylight Control,55.35,19.21,101.8,5.5,49.6,Orientation3_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
South,40%,Right,0cm,50%,Daylight Control,54.07,0,107.2,4.9,55.6,Orientation0_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
East,40%,Right,0cm,50%,Daylight Control,58.74,12.53,101,5.4,49.9,Orientation1_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
North,40%,Right,0cm,50%,Daylight Control,70.66,30.49,90.7,5.9,40.2,Orientation2_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
West,40%,Right,0cm,50%,Daylight Control,63.99,26.02,101.7,5.7,50.8,Orientation3_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
South,50%,Right,0cm,50%,Daylight Control,60.09,0,108,5,57.5,Orientation0_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
East,50%,Right,0cm,50%,Daylight Control,64.84,14.84,100.9,5.7,50.5,Orientation1_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
North,50%,Right,0cm,50%,Daylight Control,78.32,33.47,88.5,6.1,38.6,Orientation2_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
West,50%,Right,0cm,50%,Daylight Control,70.97,30.96,101.7,6,51.5,Orientation3_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
South,60%,Right,0cm,50%,Daylight Control,66.77,0,108.9,5.2,59.2,Orientation0_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
East,60%,Right,0cm,50%,Daylight Control,72.15,16.33,100.9,6,51,Orientation1_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
North,60%,Right,0cm,50%,Daylight Control,93.33,37.3,86.9,6.5,37.2,Orientation2_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
West,60%,Right,0cm,50%,Daylight Control,79.74,34.89,101.8,6.2,52.1,Orientation3_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control1.png
South,30%,Left,0cm,50%,Daylight Control,46.41,0,106.7,4.8,53.5,Orientation0_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
East,30%,Left,0cm,50%,Daylight Control,50.78,9.89,101.5,5.2,49.2,Orientation1_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
North,30%,Left,0cm,50%,Daylight Control,61.35,24.8,93.2,5.7,41.7,Orientation2_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
West,30%,Left,0cm,50%,Daylight Control,55.22,19.21,101.8,5.5,49.6,Orientation3_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
South,40%,Left,0cm,50%,Daylight Control,54.34,0,107.3,4.9,55.6,Orientation0_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
East,40%,Left,0cm,50%,Daylight Control,58.2,12.53,101,5.4,49.9,Orientation1_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
North,40%,Left,0cm,50%,Daylight Control,70.29,30.49,90.7,5.9,40.2,Orientation2_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
West,40%,Left,0cm,50%,Daylight Control,63.55,26.02,101.7,5.7,50.8,Orientation3_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
South,50%,Left,0cm,50%,Daylight Control,60.26,0,108,5,57.5,Orientation0_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
East,50%,Left,0cm,50%,Daylight Control,64.94,14.84,100.9,5.7,50.5,Orientation1_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
North,50%,Left,0cm,50%,Daylight Control,78.73,33.47,88.5,6.1,38.6,Orientation2_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
West,50%,Left,0cm,50%,Daylight Control,71,30.96,101.7,6,51.5,Orientation3_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
South,60%,Left,0cm,50%,Daylight Control,66.87,0,108.5,5.2,58.8,Orientation0_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
East,60%,Left,0cm,50%,Daylight Control,71.99,16.33,100.9,6,51,Orientation1_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
North,60%,Left,0cm,50%,Daylight Control,93.83,37.3,86.9,6.5,37.2,Orientation2_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
West,60%,Left,0cm,50%,Daylight Control,79.54,34.89,101.8,6.2,52.1,Orientation3_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control1.png
South,30%,Top,50cm,50%,Daylight Control,43.29,0,107.1,4.7,53.5,Orientation0_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
East,30%,Top,50cm,50%,Daylight Control,46.92,6.84,102.7,5,49.9,Orientation1_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
North,30%,Top,50cm,50%,Daylight Control,57.72,19.38,95.6,5,44.2,Orientation2_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
West,30%,Top,50cm,50%,Daylight Control,52.44,14.8,102.8,5.2,50.3,Orientation3_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
South,40%,Top,50cm,50%,Daylight Control,50.95,0,107.7,4.8,55.7,Orientation0_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
East,40%,Top,50cm,50%,Daylight Control,55.18,9.42,102.4,5.1,51.1,Orientation1_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
North,40%,Top,50cm,50%,Daylight Control,66.09,25.81,93.8,5.1,43.6,Orientation2_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
West,40%,Top,50cm,50%,Daylight Control,61.21,21.48,102.9,5.3,51.9,Orientation3_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
South,50%,Top,50cm,50%,Daylight Control,57.59,0,108.4,4.7,57.7,Orientation0_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
East,50%,Top,50cm,50%,Daylight Control,61.89,11.01,102.4,5.2,52.1,Orientation1_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
North,50%,Top,50cm,50%,Daylight Control,73.37,29.51,92.2,5.3,42.7,Orientation2_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
West,50%,Top,50cm,50%,Daylight Control,67.95,26.25,103.1,5.4,52.9,Orientation3_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
South,60%,Top,50cm,50%,Daylight Control,64.26,0,108.9,5,59.1,Orientation0_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
East,60%,Top,50cm,50%,Daylight Control,68.73,13.04,102.4,5.6,52.6,Orientation1_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
North,60%,Top,50cm,50%,Daylight Control,85.6,33.54,90.1,5.6,41.1,Orientation2_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
West,60%,Top,50cm,50%,Daylight Control,75.98,30.05,103.1,5.7,53.6,Orientation3_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control1.png
South,30%,Right,50cm,50%,Daylight Control,44.95,0,106.9,4.7,53.5,Orientation0_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
East,30%,Right,50cm,50%,Daylight Control,49.66,9.89,101.7,5.1,49.3,Orientation1_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
North,30%,Right,50cm,50%,Daylight Control,60.23,23.44,94,5.6,42.5,Orientation2_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
West,30%,Right,50cm,50%,Daylight Control,53.59,16.06,102.7,5.4,50.3,Orientation3_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
South,40%,Right,50cm,50%,Daylight Control,52.74,0,107.4,4.9,55.6,Orientation0_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
East,40%,Right,50cm,50%,Daylight Control,57.83,12.53,101.2,5.4,50,Orientation1_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
North,40%,Right,50cm,50%,Daylight Control,69.48,29.47,91.5,5.8,41,Orientation2_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
West,40%,Right,50cm,50%,Daylight Control,62.36,23.41,102.6,5.6,51.5,Orientation3_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
South,50%,Right,50cm,50%,Daylight Control,59.35,0,108,4.9,57.5,Orientation0_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
East,50%,Right,50cm,50%,Daylight Control,64.6,14.84,101,5.7,50.5,Orientation1_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
North,50%,Right,50cm,50%,Daylight Control,77.74,32.69,89.2,6,39.4,Orientation2_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
West,50%,Right,50cm,50%,Daylight Control,69,28.39,102.6,5.9,52.2,Orientation3_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
South,60%,Right,50cm,50%,Daylight Control,65.92,0,109,5.1,59.3,Orientation0_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
East,60%,Right,50cm,50%,Daylight Control,71.38,16.33,101,6,51.1,Orientation1_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
North,60%,Right,50cm,50%,Daylight Control,91.5,36.42,87.6,6.4,38,Orientation2_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
West,60%,Right,50cm,50%,Daylight Control,77.51,32.11,102.8,6.1,53.1,Orientation3_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control1.png
South,30%,Left,50cm,50%,Daylight Control,45.66,0,106.9,4.7,53.5,Orientation0_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
East,30%,Left,50cm,50%,Daylight Control,48.37,6.88,102.5,5.1,49.9,Orientation1_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
North,30%,Left,50cm,50%,Daylight Control,60.3,23.27,94,5.4,42.6,Orientation2_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
West,30%,Left,50cm,50%,Daylight Control,54.81,18.94,102,5.4,49.8,Orientation3_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
South,40%,Left,50cm,50%,Daylight Control,53.39,0,107.3,4.8,55.6,Orientation0_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
East,40%,Left,50cm,50%,Daylight Control,57.28,9.59,101.9,5.3,50.7,Orientation1_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
North,40%,Left,50cm,50%,Daylight Control,69.58,29.34,91.5,5.8,40.9,Orientation2_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
West,40%,Left,50cm,50%,Daylight Control,63.45,25.91,101.9,5.6,50.9,Orientation3_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
South,50%,Left,50cm,50%,Daylight Control,59.69,0,108.1,5,57.5,Orientation0_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
East,50%,Left,50cm,50%,Daylight Control,63.35,11.69,101.8,5.6,51.3,Orientation1_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
North,50%,Left,50cm,50%,Daylight Control,77.71,32.72,89.2,6,39.3,Orientation2_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
West,50%,Left,50cm,50%,Daylight Control,70.49,30.76,101.8,5.9,51.6,Orientation3_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
South,60%,Left,50cm,50%,Daylight Control,65.96,0,109,5.1,59.3,Orientation0_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
East,60%,Left,50cm,50%,Daylight Control,70.87,13.08,101.9,5.9,52,Orientation1_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
North,60%,Left,50cm,50%,Daylight Control,91.46,36.42,87.5,6.4,37.9,Orientation2_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
West,60%,Left,50cm,50%,Daylight Control,78.93,34.79,101.9,6.2,52.2,Orientation3_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control1.png
South,30%,Top,100cm,50%,Daylight Control,40.24,0,107.5,4.6,53.4,Orientation0_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
East,30%,Top,100cm,50%,Daylight Control,45.22,3.62,103.9,5.4,50.3,Orientation1_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
North,30%,Top,100cm,50%,Daylight Control,55.62,14.87,97.7,4.8,46,Orientation2_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
West,30%,Top,100cm,50%,Daylight Control,50.14,11.11,103.3,4.8,50.7,Orientation3_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
South,40%,Top,100cm,50%,Daylight Control,48.95,0,108.1,4.7,55.7,Orientation0_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
East,40%,Top,100cm,50%,Daylight Control,52.71,4.95,103.5,5,51.9,Orientation1_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
North,40%,Top,100cm,50%,Daylight Control,63.48,20.56,96.5,4.7,46.3,Orientation2_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
West,40%,Top,100cm,50%,Daylight Control,58.33,16.63,103.7,5,52.5,Orientation3_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
South,50%,Top,100cm,50%,Daylight Control,54.61,0,108.9,4.7,57.8,Orientation0_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
East,50%,Top,100cm,50%,Daylight Control,59.04,6.44,103.6,5,53.1,Orientation1_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
North,50%,Top,100cm,50%,Daylight Control,70.39,24.53,95.6,4.9,46.2,Orientation2_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
West,50%,Top,100cm,50%,Daylight Control,64.94,21.48,104.1,5.1,53.9,Orientation3_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
South,60%,Top,100cm,50%,Daylight Control,61.62,0,109.2,4.8,59.2,Orientation0_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
East,60%,Top,100cm,50%,Daylight Control,65.89,9.99,103.4,5.2,53.7,Orientation1_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
North,60%,Top,100cm,50%,Daylight Control,80.42,29.07,93.4,5.1,44.6,Orientation2_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
West,60%,Top,100cm,50%,Daylight Control,72.76,25.81,104,5.3,54.6,Orientation3_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control1.png
South,30%,Right,100cm,50%,Daylight Control,44.28,0,107,4.7,53.5,Orientation0_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
East,30%,Right,100cm,50%,Daylight Control,49.36,9.89,101.8,5.1,49.3,Orientation1_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
North,30%,Right,100cm,50%,Daylight Control,59.86,22.43,94.7,5.4,43.2,Orientation2_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
West,30%,Right,100cm,50%,Daylight Control,52.41,14.46,103.3,5.4,50.7,Orientation3_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
South,40%,Right,100cm,50%,Daylight Control,51.76,0,107.4,4.7,55.6,Orientation0_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
East,40%,Right,100cm,50%,Daylight Control,57.05,12.53,101.3,5.3,50.1,Orientation1_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
North,40%,Right,100cm,50%,Daylight Control,68.94,28.59,92.3,5.8,41.7,Orientation2_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
West,40%,Right,100cm,50%,Daylight Control,60.7,21.92,103.2,5.6,52,Orientation3_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
South,50%,Right,100cm,50%,Daylight Control,58.33,0,108.2,4.9,57.5,Orientation0_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
East,50%,Right,100cm,50%,Daylight Control,63.99,14.84,101.1,5.6,50.6,Orientation1_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
North,50%,Right,100cm,50%,Daylight Control,76.56,32.08,89.8,6,39.9,Orientation2_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
West,50%,Right,100cm,50%,Daylight Control,67.82,27.2,103.1,5.8,52.7,Orientation3_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
South,60%,Right,100cm,50%,Daylight Control,65.11,0,108.6,5,58.9,Orientation0_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
East,60%,Right,100cm,50%,Daylight Control,71.14,16.33,101.1,5.9,51.1,Orientation1_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control1.png
