in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
North,60%,Top,50cm,40%,No Lighting Control,85.67,33.54,108.8,7.4,35.3,Orientation2_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
West,60%,Top,50cm,40%,No Lighting Control,75.58,30.05,118.8,7.2,45.6,Orientation3_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
South,30%,Right,50cm,40%,No Lighting Control,44.99,0,118.6,6.6,45.9,Orientation0_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
East,30%,Right,50cm,40%,No Lighting Control,49.53,9.89,114.9,6.7,42.2,Orientation1_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
North,30%,Right,50cm,40%,No Lighting Control,60.47,23.44,109.4,7.2,36.1,Orientation2_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
West,30%,Right,50cm,40%,No Lighting Control,53.46,16.06,116.1,6.9,43.1,Orientation3_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
South,40%,Right,50cm,40%,No Lighting Control,52.71,0,120.2,6.7,47.5,Orientation0_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
East,40%,Right,50cm,40%,No Lighting Control,57.93,12.53,115.5,6.8,42.6,Orientation1_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
North,40%,Right,50cm,40%,No Lighting Control,69.48,29.47,108.5,7.4,35,Orientation2_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
West,40%,Right,50cm,40%,No Lighting Control,61.92,23.41,116.9,7.1,43.7,Orientation3_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
South,50%,Right,50cm,40%,No Lighting Control,59.04,0,121.5,6.5,48.8,Orientation0_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
East,50%,Right,50cm,40%,No Lighting Control,64.5,14.84,116.4,7,43.3,Orientation1_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
North,50%,Right,50cm,40%,No Lighting Control,77.78,32.69,107.9,7.7,34.1,Orientation2_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
West,50%,Right,50cm,40%,No Lighting Control,69.51,28.39,117.9,7.3,44.5,Orientation3_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
South,60%,Right,50cm,40%,No Lighting Control,65.75,0,122.7,6.7,50,Orientation0_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
East,60%,Right,50cm,40%,No Lighting Control,71.54,16.33,117.1,7.2,43.8,Orientation1_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
North,60%,Right,50cm,40%,No Lighting Control,91.84,36.42,107.3,7.9,33.3,Orientation2_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
West,60%,Right,50cm,40%,No Lighting Control,77.44,32.11,118.9,7.6,45.3,Orientation3_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control0.png
South,30%,Left,50cm,40%,No Lighting Control,45.29,0,118.6,6.6,45.9,Orientation0_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
East,30%,Left,50cm,40%,No Lighting Control,48.98,6.88,115.4,6.6,42.7,Orientation1_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
North,30%,Left,50cm,40%,No Lighting Control,60.13,23.27,109.2,7.1,36,Orientation2_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
West,30%,Left,50cm,40%,No Lighting Control,54.47,18.94,115.6,7,42.6,Orientation3_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
South,40%,Left,50cm,40%,No Lighting Control,53.35,0,120.2,6.7,47.5,Orientation0_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
East,40%,Left,50cm,40%,No Lighting Control,56.98,9.59,116.1,6.8,43.2,Orientation1_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
North,40%,Left,50cm,40%,No Lighting Control,69.28,29.34,108.5,7.4,35,Orientation2_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
West,40%,Left,50cm,40%,No Lighting Control,63.55,25.91,116.4,7.2,43.2,Orientation3_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
South,50%,Left,50cm,40%,No Lighting Control,59.72,0,121.7,6.8,48.8,Orientation0_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
East,50%,Left,50cm,40%,No Lighting Control,63.62,11.69,116.9,7,43.9,Orientation1_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
North,50%,Left,50cm,40%,No Lighting Control,77.64,32.72,107.8,7.7,34.1,Orientation2_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
West,50%,Left,50cm,40%,No Lighting Control,70.77,30.76,117.3,7.4,43.9,Orientation3_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
South,60%,Left,50cm,40%,No Lighting Control,66.36,0,122.9,6.9,50,Orientation0_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
East,60%,Left,50cm,40%,No Lighting Control,70.39,13.08,117.9,7.2,44.6,Orientation1_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
North,60%,Left,50cm,40%,No Lighting Control,92.01,36.42,107.2,7.9,33.2,Orientation2_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
West,60%,Left,50cm,40%,No Lighting Control,79.4,34.79,118.2,7.6,44.5,Orientation3_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control0.png
South,30%,Top,100cm,40%,No Lighting Control,40.51,0,118.7,6.5,46.1,Orientation0_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
East,30%,Top,100cm,40%,No Lighting Control,44.99,3.62,115.7,6.4,43.2,Orientation1_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
North,30%,Top,100cm,40%,No Lighting Control,54.84,14.87,111.5,6.7,38.8,Orientation2_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
West,30%,Top,100cm,40%,No Lighting Control,49.93,11.11,116.2,6.6,43.5,Orientation3_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
South,40%,Top,100cm,40%,No Lighting Control,48.85,0,120.4,6.5,47.8,Orientation0_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
East,40%,Top,100cm,40%,No Lighting Control,53.18,4.95,116.7,6.4,44.2,Orientation1_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
North,40%,Top,100cm,40%,No Lighting Control,63.28,20.56,111.7,6.7,39,Orientation2_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
West,40%,Top,100cm,40%,No Lighting Control,58.16,16.63,117.3,6.7,44.6,Orientation3_WWR1_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
South,50%,Top,100cm,40%,No Lighting Control,54.98,0,121.9,6.6,49.3,Orientation0_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
East,50%,Top,100cm,40%,No Lighting Control,59.25,6.44,118,6.6,45.3,Orientation1_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
North,50%,Top,100cm,40%,No Lighting Control,70.02,24.53,111.8,6.7,39,Orientation2_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
West,50%,Top,100cm,40%,No Lighting Control,65.18,21.48,118.5,6.7,45.8,Orientation3_WWR2_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
South,60%,Top,100cm,40%,No Lighting Control,61.38,0,122.9,6.4,50.4,Orientation0_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
East,60%,Top,100cm,40%,No Lighting Control,66.36,9.99,118.6,6.7,45.9,Orientation1_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
North,60%,Top,100cm,40%,No Lighting Control,80.45,29.07,111.1,7,38,Orientation2_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
West,60%,Top,100cm,40%,No Lighting Control,72.87,25.81,119.3,6.9,46.4,Orientation3_WWR3_Shade Position0_Shade Depth2_VT0_Lighting Control0.png
South,30%,Right,100cm,40%,No Lighting Control,43.8,0,118.6,6.6,46,Orientation0_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
East,30%,Right,100cm,40%,No Lighting Control,49.22,9.89,114.9,6.6,42.2,Orientation1_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
North,30%,Right,100cm,40%,No Lighting Control,59.62,22.43,109.8,7.2,36.6,Orientation2_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
West,30%,Right,100cm,40%,No Lighting Control,52.03,14.46,116.5,6.9,43.5,Orientation3_WWR0_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
South,40%,Right,100cm,40%,No Lighting Control,52.34,0,120.3,6.7,47.5,Orientation0_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
East,40%,Right,100cm,40%,No Lighting Control,57.08,12.53,115.5,6.8,42.7,Orientation1_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
North,40%,Right,100cm,40%,No Lighting Control,68.7,28.59,109,7.4,35.5,Orientation2_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
West,40%,Right,100cm,40%,No Lighting Control,61.04,21.92,117.3,7.1,44.1,Orientation3_WWR1_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
South,50%,Right,100cm,40%,No Lighting Control,58.27,0,121.7,6.8,48.9,Orientation0_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
East,50%,Right,100cm,40%,No Lighting Control,63.75,14.84,116.4,7,43.3,Orientation1_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
North,50%,Right,100cm,40%,No Lighting Control,76.66,32.08,108.2,7.6,34.5,Orientation2_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
West,50%,Right,100cm,40%,No Lighting Control,68.26,27.2,118.3,7.3,44.9,Orientation3_WWR2_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
South,60%,Right,100cm,40%,No Lighting Control,65.07,0,122.7,6.6,50,Orientation0_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
East,60%,Right,100cm,40%,No Lighting Control,70.87,16.33,117.2,7.2,43.9,Orientation1_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
North,60%,Right,100cm,40%,No Lighting Control,90.41,35.7,107.8,7.8,33.9,Orientation2_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
West,60%,Right,100cm,40%,No Lighting Control,75.85,30.28,119.4,7.5,45.8,Orientation3_WWR3_Shade Position1_Shade Depth2_VT0_Lighting Control0.png
South,30%,Left,100cm,40%,No Lighting Control,45.02,0,118.7,6.7,46,Orientation0_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
East,30%,Left,100cm,40%,No Lighting Control,47.63,5.32,115.7,6.5,43.1,Orientation1_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
North,30%,Left,100cm,40%,No Lighting Control,59.01,21.88,109.6,7.1,36.5,Orientation2_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
West,30%,Left,100cm,40%,No Lighting Control,54.81,18.8,115.6,7,42.6,Orientation3_WWR0_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
South,40%,Left,100cm,40%,No Lighting Control,52.98,0,120.2,6.7,47.5,Orientation0_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
East,40%,Left,100cm,40%,No Lighting Control,55.79,8.37,116.5,6.8,43.7,Orientation1_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
North,40%,Left,100cm,40%,No Lighting Control,68.09,28.66,109,7.5,35.4,Orientation2_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
West,40%,Left,100cm,40%,No Lighting Control,63.28,25.85,116.4,7.1,43.2,Orientation3_WWR1_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
South,50%,Left,100cm,40%,No Lighting Control,58.74,0,121.7,6.8,48.9,Orientation0_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
East,50%,Left,100cm,40%,No Lighting Control,62.36,10.23,117.4,6.9,44.4,Orientation1_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
North,50%,Left,100cm,40%,No Lighting Control,76.25,32.22,108.1,7.7,34.4,Orientation2_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
West,50%,Left,100cm,40%,No Lighting Control,70.39,30.56,117.3,7.3,43.9,Orientation3_WWR2_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
South,60%,Left,100cm,40%,No Lighting Control,65.65,0,122.9,6.8,50,Orientation0_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
East,60%,Left,100cm,40%,No Lighting Control,69.28,11.25,118.4,7.1,45.2,Orientation1_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
North,60%,Left,100cm,40%,No Lighting Control,90.04,35.7,107.7,7.8,33.8,Orientation2_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
West,60%,Left,100cm,40%,No Lighting Control,78.79,34.69,118.2,7.6,44.6,Orientation3_WWR3_Shade Position2_Shade Depth2_VT0_Lighting Control0.png
South,30%,Top,0cm,50%,No Lighting Control,46.31,0,118.1,6.8,45.3,Orientation0_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
East,30%,Top,0cm,50%,No Lighting Control,50.37,9.89,114,6.9,41,Orientation1_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
North,30%,Top,0cm,50%,No Lighting Control,61.96,24.8,106.7,7.6,33,Orientation2_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
West,30%,Top,0cm,50%,No Lighting Control,55.28,19.21,114.8,7.3,41.5,Orientation3_WWR0_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
South,40%,Top,0cm,50%,No Lighting Control,54.2,0,119.8,7.1,46.6,Orientation0_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
East,40%,Top,0cm,50%,No Lighting Control,58.57,12.53,114.2,7.1,41,Orientation1_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
North,40%,Top,0cm,50%,No Lighting Control,70.33,30.49,105.3,7.9,31.3,Orientation2_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
West,40%,Top,0cm,50%,No Lighting Control,64.06,26.02,115.2,7.5,41.6,Orientation3_WWR1_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
South,50%,Top,0cm,50%,No Lighting Control,60.4,0,120.8,6.9,47.8,Orientation0_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
East,50%,Top,0cm,50%,No Lighting Control,64.77,14.84,114.7,7.5,41.2,Orientation1_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
North,50%,Top,0cm,50%,No Lighting Control,78.86,33.47,103.8,8.3,29.5,Orientation2_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
West,50%,Top,0cm,50%,No Lighting Control,71.41,30.96,115.9,8,41.8,Orientation3_WWR2_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
South,60%,Top,0cm,50%,No Lighting Control,67.17,0,121.9,7.1,48.7,Orientation0_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
East,60%,Top,0cm,50%,No Lighting Control,71.99,16.33,115.3,7.8,41.4,Orientation1_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
North,60%,Top,0cm,50%,No Lighting Control,93.29,37.3,102.6,8.6,27.9,Orientation2_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
West,60%,Top,0cm,50%,No Lighting Control,79.3,34.89,116.5,8.3,42.1,Orientation3_WWR3_Shade Position0_Shade Depth0_VT1_Lighting Control0.png
South,30%,Right,0cm,50%,No Lighting Control,46.17,0,118.1,6.8,45.3,Orientation0_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
East,30%,Right,0cm,50%,No Lighting Control,50.41,9.89,114,6.9,41,Orientation1_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
North,30%,Right,0cm,50%,No Lighting Control,61.38,24.8,106.7,7.6,33,Orientation2_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
West,30%,Right,0cm,50%,No Lighting Control,55.76,19.21,114.8,7.3,41.5,Orientation3_WWR0_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
South,40%,Right,0cm,50%,No Lighting Control,54.13,0,119.8,7.1,46.6,Orientation0_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
East,40%,Right,0cm,50%,No Lighting Control,58.4,12.53,114.2,7.1,41,Orientation1_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
